date,closing_price,symbol,type
2019-05-23,2655.5,USD/MNT,forex
2019-05-22,2655.5,USD/MNT,forex
2019-05-21,2645.0,USD/MNT,forex
2019-05-20,2645.0,USD/MNT,forex
2019-05-17,2645.5,USD/MNT,forex
2019-05-16,2645.5,USD/MNT,forex
2019-05-15,2647.0,USD/MNT,forex
2019-05-14,2649.5,USD/MNT,forex
2019-05-13,2650.0,USD/MNT,forex
2019-05-10,2629.0,USD/MNT,forex
2019-05-09,2645.0,USD/MNT,forex
2019-05-08,2640.0,USD/MNT,forex
2019-05-07,2640.0,USD/MNT,forex
2019-05-06,2625.0,USD/MNT,forex
2019-05-03,2631.0,USD/MNT,forex
2019-05-02,2629.0,USD/MNT,forex
2019-05-01,2623.0,USD/MNT,forex
2019-04-30,2642.0,USD/MNT,forex
2019-04-29,2642.0,USD/MNT,forex
2019-04-26,2640.0,USD/MNT,forex
2019-04-25,2621.0,USD/MNT,forex
2019-04-24,2621.0,USD/MNT,forex
2019-04-23,2623.0,USD/MNT,forex
2019-04-22,2620.0,USD/MNT,forex
2019-04-19,2615.0,USD/MNT,forex
2019-04-18,2621.0,USD/MNT,forex
2019-04-17,2623.0,USD/MNT,forex
2019-04-16,2618.0,USD/MNT,forex
2019-04-15,2617.0,USD/MNT,forex
2019-04-12,2615.0,USD/MNT,forex
2019-04-11,2611.0,USD/MNT,forex
2019-04-10,2611.0,USD/MNT,forex
2019-04-09,2611.0,USD/MNT,forex
2019-04-08,2615.0,USD/MNT,forex
2019-04-05,2615.0,USD/MNT,forex
2019-04-04,2614.0,USD/MNT,forex
2019-04-03,2614.0,USD/MNT,forex
2019-04-02,2629.5,USD/MNT,forex
2019-04-01,2613.0,USD/MNT,forex
2019-03-29,2612.0,USD/MNT,forex
2019-03-28,2612.0,USD/MNT,forex
2019-03-27,2614.0,USD/MNT,forex
2019-03-26,2612.0,USD/MNT,forex
2019-03-25,2615.0,USD/MNT,forex
2019-03-22,2615.0,USD/MNT,forex
2019-03-21,2618.0,USD/MNT,forex
2019-03-20,2613.0,USD/MNT,forex
2019-03-19,2617.0,USD/MNT,forex
2019-03-18,2614.0,USD/MNT,forex
2019-03-15,2615.0,USD/MNT,forex
2019-03-14,2612.0,USD/MNT,forex
2019-03-13,2617.0,USD/MNT,forex
2019-03-12,2617.0,USD/MNT,forex
2019-03-11,2615.0,USD/MNT,forex
2019-03-08,2633.5,USD/MNT,forex
2019-03-07,2633.5,USD/MNT,forex
2019-03-06,2617.0,USD/MNT,forex
2019-03-05,2620.0,USD/MNT,forex
2019-03-04,2618.0,USD/MNT,forex
2019-03-01,2635.0,USD/MNT,forex
2019-02-28,2633.5,USD/MNT,forex
2019-02-27,2620.0,USD/MNT,forex
2019-02-26,2635.0,USD/MNT,forex
2019-02-25,2610.0,USD/MNT,forex
2019-02-22,2640.0,USD/MNT,forex
2019-02-21,2617.0,USD/MNT,forex
2019-02-20,2635.0,USD/MNT,forex
2019-02-19,2624.0,USD/MNT,forex
2019-02-18,2630.0,USD/MNT,forex
2019-02-15,2632.0,USD/MNT,forex
2019-02-14,2632.5,USD/MNT,forex
2019-02-13,2630.0,USD/MNT,forex
2019-02-12,2630.0,USD/MNT,forex
2019-02-11,2612.0,USD/MNT,forex
2019-02-08,2633.0,USD/MNT,forex
2019-02-07,2628.0,USD/MNT,forex
2019-02-06,2630.5,USD/MNT,forex
2019-02-05,2620.0,USD/MNT,forex
2019-02-04,2617.0,USD/MNT,forex
2019-02-01,2614.0,USD/MNT,forex
2019-01-31,2614.0,USD/MNT,forex
2019-01-30,2616.0,USD/MNT,forex
2019-01-29,2614.0,USD/MNT,forex
2019-01-28,2617.0,USD/MNT,forex
2019-01-25,2616.0,USD/MNT,forex
2019-01-24,2621.0,USD/MNT,forex
2019-01-23,2621.0,USD/MNT,forex
2019-01-22,2633.0,USD/MNT,forex
2019-01-21,2650.0,USD/MNT,forex
2019-01-18,2635.0,USD/MNT,forex
2019-01-17,2655.0,USD/MNT,forex
2019-01-16,2639.0,USD/MNT,forex
2019-01-15,2646.0,USD/MNT,forex
2019-01-14,2648.0,USD/MNT,forex
2019-01-11,2647.0,USD/MNT,forex
2019-01-10,2650.0,USD/MNT,forex
2019-01-09,2658.0,USD/MNT,forex
2019-01-08,2660.0,USD/MNT,forex
2019-01-07,2653.0,USD/MNT,forex
2019-01-04,2648.5,USD/MNT,forex
2019-01-03,2641.0,USD/MNT,forex
2019-01-02,2645.0,USD/MNT,forex
2019-01-01,2645.0,USD/MNT,forex
2018-12-31,2640.0,USD/MNT,forex
2018-12-28,2642.0,USD/MNT,forex
2018-12-27,2639.0,USD/MNT,forex
2018-12-26,2640.0,USD/MNT,forex
2018-12-25,2635.5,USD/MNT,forex
2018-12-24,2635.5,USD/MNT,forex
2018-12-21,2632.0,USD/MNT,forex
2018-12-20,2626.0,USD/MNT,forex
2018-12-19,2633.5,USD/MNT,forex
2018-12-18,2633.0,USD/MNT,forex
2018-12-17,2618.0,USD/MNT,forex
2018-12-14,2631.5,USD/MNT,forex
2018-12-13,2617.0,USD/MNT,forex
2018-12-12,2638.0,USD/MNT,forex
2018-12-11,2638.0,USD/MNT,forex
2018-12-10,2617.0,USD/MNT,forex
2018-12-07,2619.0,USD/MNT,forex
2018-12-06,2632.0,USD/MNT,forex
2018-12-05,2616.0,USD/MNT,forex
2018-12-04,2634.5,USD/MNT,forex
2018-12-03,2626.0,USD/MNT,forex
2018-11-30,2625.0,USD/MNT,forex
2018-11-29,2618.5,USD/MNT,forex
2018-11-28,2605.0,USD/MNT,forex
2018-11-27,2600.0,USD/MNT,forex
2018-11-26,2598.5,USD/MNT,forex
2018-11-23,2580.0,USD/MNT,forex
2018-11-22,2585.0,USD/MNT,forex
2018-11-21,2584.5,USD/MNT,forex
2018-11-20,2575.5,USD/MNT,forex
2018-11-19,2575.5,USD/MNT,forex
2018-11-16,2562.0,USD/MNT,forex
2018-11-15,2559.0,USD/MNT,forex
2018-11-14,2567.0,USD/MNT,forex
2018-11-13,2555.0,USD/MNT,forex
2018-11-12,2561.0,USD/MNT,forex
2018-11-09,2561.0,USD/MNT,forex
2018-11-08,2561.5,USD/MNT,forex
2018-11-07,2550.0,USD/MNT,forex
2018-11-06,2550.0,USD/MNT,forex
2018-11-05,2552.0,USD/MNT,forex
2018-11-02,2550.0,USD/MNT,forex
2018-11-01,2545.0,USD/MNT,forex
2018-10-31,2555.0,USD/MNT,forex
2018-10-30,2555.0,USD/MNT,forex
2018-10-29,2548.0,USD/MNT,forex
2018-10-26,2547.0,USD/MNT,forex
2018-10-25,2543.0,USD/MNT,forex
2018-10-24,2563.5,USD/MNT,forex
2018-10-23,2560.5,USD/MNT,forex
2018-10-22,2560.0,USD/MNT,forex
2018-10-19,2565.0,USD/MNT,forex
2018-10-18,2550.0,USD/MNT,forex
2018-10-17,2547.0,USD/MNT,forex
2018-10-16,2565.5,USD/MNT,forex
2018-10-15,2546.0,USD/MNT,forex
2018-10-12,2563.0,USD/MNT,forex
2018-10-11,2546.0,USD/MNT,forex
2018-10-10,2564.0,USD/MNT,forex
2018-10-09,2550.0,USD/MNT,forex
2018-10-08,2566.0,USD/MNT,forex
2018-10-05,2567.5,USD/MNT,forex
2018-10-04,2552.0,USD/MNT,forex
2018-10-03,2557.0,USD/MNT,forex
2018-10-02,2536.0,USD/MNT,forex
2018-10-01,2536.0,USD/MNT,forex
2018-09-28,2541.5,USD/MNT,forex
2018-09-27,2536.0,USD/MNT,forex
2018-09-26,2538.0,USD/MNT,forex
2018-09-25,2518.0,USD/MNT,forex
2018-09-24,2520.0,USD/MNT,forex
2018-09-21,2513.0,USD/MNT,forex
2018-09-20,2495.0,USD/MNT,forex
2018-09-19,2499.0,USD/MNT,forex
2018-09-18,2488.0,USD/MNT,forex
2018-09-17,2479.0,USD/MNT,forex
2018-09-14,2481.0,USD/MNT,forex
2018-09-13,2470.0,USD/MNT,forex
2018-09-12,2476.0,USD/MNT,forex
2018-09-11,2467.0,USD/MNT,forex
2018-09-10,2463.0,USD/MNT,forex
2018-09-07,2462.0,USD/MNT,forex
2018-09-06,2468.0,USD/MNT,forex
2018-09-05,2458.0,USD/MNT,forex
2018-09-04,2460.0,USD/MNT,forex
2018-09-03,2468.0,USD/MNT,forex
2018-08-31,2468.0,USD/MNT,forex
2018-08-30,2469.5,USD/MNT,forex
2018-08-29,2466.0,USD/MNT,forex
2018-08-28,2466.0,USD/MNT,forex
2018-08-27,2467.5,USD/MNT,forex
2018-08-24,2468.0,USD/MNT,forex
2018-08-23,2468.0,USD/MNT,forex
2018-08-22,2468.0,USD/MNT,forex
2018-08-21,2468.0,USD/MNT,forex
2018-08-20,2461.0,USD/MNT,forex
